"","Suburb","Rooms","Type","Address","Method","SellerG","Date","Distance","Postcode","Landsize","CouncilArea","Lattitude","Longtitude","Regionname","Propertycount","Price"
"1","Abbotsford","2","h","68 Studley St","SS","Jellis",2016-09-03,2.5,"3067",126,"Yarra City Council",-37.8014,144.9958,"Northern Metropolitan",4019,1207250
"2","Abbotsford","2","h","85 Turner St","S","Biggin",2016-12-03,2.5,"3067",202,"Yarra City Council",-37.7996,144.9984,"Northern Metropolitan",4019,1480000
"3","Abbotsford","2","h","25 Bloomburg St","S","Biggin",2016-02-04,2.5,"3067",156,"Yarra City Council",-37.8079,144.9934,"Northern Metropolitan",4019,1035000
"4","Abbotsford","3","u","18/659 Victoria St","VB","Rounds",2016-02-04,2.5,"3067",0,"Yarra City Council",-37.8114,145.0116,"Northern Metropolitan",4019,1001000
"5","Abbotsford","3","h","5 Charles St","SP","Biggin",2017-03-04,2.5,"3067",134,"Yarra City Council",-37.8093,144.9944,"Northern Metropolitan",4019,1465000
"6","Abbotsford","3","h","40 Federation La","PI","Biggin",2017-03-04,2.5,"3067",94,"Yarra City Council",-37.7969,144.9969,"Northern Metropolitan",4019,850000
"7","Abbotsford","4","h","55a Park St","VB","Nelson",2016-06-04,2.5,"3067",120,"Yarra City Council",-37.8072,144.9941,"Northern Metropolitan",4019,1600000
"8","Abbotsford","4","h","16 Maugie St","SN","Nelson",2016-08-06,2.5,"3067",400,"Yarra City Council",-37.7965,144.9965,"Northern Metropolitan",4019,1330000
"9","Abbotsford","2","h","53 Turner St","S","Biggin",2016-08-06,2.5,"3067",201,"Yarra City Council",-37.7995,144.9974,"Northern Metropolitan",4019,1310000
"10","Abbotsford","2","h","99 Turner St","S","Collins",2016-08-06,2.5,"3067",202,"Yarra City Council",-37.7996,144.9989,"Northern Metropolitan",4019,1145000
"11","Abbotsford","2","h","129 Charles St","S","Jellis",2016-05-07,2.5,"3067",181,"Yarra City Council",-37.8041,144.9953,"Northern Metropolitan",4019,941000
"12","Abbotsford","3","h","124 Yarra St","S","Nelson",2016-05-07,2.5,"3067",245,"Yarra City Council",-37.8024,144.9993,"Northern Metropolitan",4019,1876000
"13","Abbotsford","2","h","98 Charles St","S","Nelson",2016-10-08,2.5,"3067",256,"Yarra City Council",-37.806,144.9954,"Northern Metropolitan",4019,1636000
"14","Abbotsford","1","u","6/241 Nicholson St","S","Biggin",2016-10-08,2.5,"3067",0,"Yarra City Council",-37.8008,144.9973,"Northern Metropolitan",4019,3e+05
"15","Abbotsford","2","h","10 Valiant St","S","Biggin",2016-10-08,2.5,"3067",220,"Yarra City Council",-37.801,144.9989,"Northern Metropolitan",4019,1097000
